Number_of_Groups,Task_group
13,"{0: [27], 1: [83, 57], 2: [55], 3: [76, 46, 6], 4: [5, 91, 92], 5: [2, 61], 6: [25, 78, 90, 10], 7: [52, 9, 24], 8: [86, 30, 12, 67, 22, 70, 18], 9: [84], 10: [81, 85, 59], 11: [20, 87], 12: [80, 89, 28]}"
12,"{0: [86, 84, 78, 87, 61], 1: [76], 2: [83, 12], 3: [80, 85, 89, 28], 4: [55, 90], 5: [25, 5, 67], 6: [9, 24, 27, 59], 7: [91, 22, 57, 18], 8: [46, 6, 70], 9: [52, 30, 10], 10: [81, 92], 11: [20, 2]}"
13,"{0: [83, 81, 85], 1: [30, 55, 61, 27], 2: [78], 3: [52, 90, 24, 92, 10], 4: [87], 5: [18], 6: [80, 2, 12, 9], 7: [76, 91], 8: [22, 57, 28], 9: [25, 86, 84, 67], 10: [89, 6], 11: [20, 5, 59, 70], 12: [46]}"
13,"{0: [55, 61, 10], 1: [86, 92, 18], 2: [30, 87, 57, 70], 3: [83, 5, 90, 22, 89, 6], 4: [85, 27], 5: [80, 59], 6: [76, 25], 7: [20, 78, 9], 8: [28], 9: [52, 12, 91, 24], 10: [2, 46], 11: [84, 67], 12: [81]}"
14,"{0: [30, 46], 1: [52, 5, 91, 59], 2: [28], 3: [83, 10], 4: [80, 90, 92], 5: [78], 6: [76, 24], 7: [55, 6, 27], 8: [85, 87, 61, 67, 22], 9: [20, 12, 9], 10: [25, 2, 89, 57, 70], 11: [86, 18], 12: [81], 13: [84]}"
14,"{0: [76, 78], 1: [80, 87, 91], 2: [86, 28, 24], 3: [83, 52, 20, 70, 92, 10], 4: [61, 57, 6, 59], 5: [5, 2], 6: [25, 84, 27], 7: [67, 90, 9], 8: [18], 9: [81, 85, 22], 10: [30, 89], 11: [46], 12: [12], 13: [55]}"
13,"{0: [83, 52, 90, 70], 1: [85, 86, 28], 2: [61, 89, 24], 3: [91, 22, 92], 4: [80, 27, 59, 18], 5: [20, 84, 30, 12], 6: [67, 9], 7: [81, 76, 46, 57, 10], 8: [78, 55], 9: [6], 10: [2], 11: [25, 87], 12: [5]}"
11,"{0: [76, 9, 59, 92, 10], 1: [78, 2, 18], 2: [89], 3: [91, 57, 24], 4: [83, 81, 87, 90], 5: [86, 22], 6: [52, 84, 5, 46], 7: [20, 30, 12, 61, 70], 8: [67, 28], 9: [25, 85, 6, 27], 10: [80, 55]}"
11,"{0: [83, 52, 55], 1: [78, 2, 9, 10], 2: [46, 12, 6], 3: [81, 76, 5], 4: [25, 20, 22, 28, 59], 5: [61, 91, 89], 6: [87, 92], 7: [85, 84, 90], 8: [80, 86], 9: [30, 57, 24, 27], 10: [67, 70, 18]}"
16,"{0: [67, 22, 59, 10], 1: [81, 55], 2: [52, 20, 57, 18], 3: [92], 4: [83, 90], 5: [30, 61], 6: [80, 25, 2], 7: [86, 27], 8: [5, 6], 9: [76, 12], 10: [9], 11: [84], 12: [85, 46, 91], 13: [87, 24], 14: [78, 89], 15: [28, 70]}"
13,"{0: [91], 1: [83, 30, 6, 92], 2: [80, 85, 9, 24, 27], 3: [84, 46], 4: [76, 2, 57], 5: [52, 81, 87], 6: [55, 28], 7: [86, 18], 8: [25, 89, 70, 10], 9: [78, 67, 59], 10: [20, 5, 22], 11: [61, 90], 12: [12]}"
11,"{0: [20, 30, 55, 61, 27, 92], 1: [87, 67, 90, 6], 2: [52, 25, 5, 24], 3: [91, 28, 10], 4: [85, 2, 12, 9, 70], 5: [80, 89], 6: [84], 7: [83, 78], 8: [81, 76, 22, 59], 9: [46], 10: [86, 57, 18]}"
11,"{0: [52, 78, 57, 10], 1: [83, 25, 86, 5], 2: [12, 22], 3: [9], 4: [84, 87, 91, 28, 70], 5: [80, 61, 90, 89, 27, 59], 6: [81, 2, 67, 6], 7: [85, 20, 30, 92], 8: [46, 24], 9: [55, 18], 10: [76]}"
15,"{0: [5, 90, 6], 1: [22], 2: [81], 3: [84, 9, 27], 4: [46, 91, 59, 10], 5: [12, 18], 6: [85, 78, 55], 7: [76, 25, 57], 8: [83, 30, 24], 9: [2, 61, 92], 10: [20, 87, 67, 89], 11: [52], 12: [86], 13: [28, 70], 14: [80]}"
10,"{0: [80, 90, 6, 18], 1: [81, 25, 20, 2, 22, 24], 2: [55, 46, 28, 9, 70], 3: [84, 12], 4: [85, 78, 67, 57, 10], 5: [5, 59], 6: [83, 52, 30, 61, 91, 92], 7: [76, 86, 87], 8: [89], 9: [27]}"
12,"{0: [25, 85, 2, 92], 1: [57], 2: [86, 5, 91], 3: [81, 76, 12, 70, 10], 4: [84, 55, 90, 22, 24], 5: [78, 46, 27], 6: [87, 67], 7: [28, 9, 59, 18], 8: [52, 6], 9: [83, 61], 10: [30, 89], 11: [80, 20]}"
12,"{0: [86], 1: [2, 61, 10], 2: [55, 28, 27, 92, 18], 3: [25, 20, 5, 30, 12, 9, 24], 4: [87, 91, 70], 5: [22, 59], 6: [80, 46], 7: [81, 90], 8: [83, 84, 78, 67, 57], 9: [89], 10: [52, 85, 6], 11: [76]}"
11,"{0: [81, 86, 5], 1: [30, 67, 6, 92], 2: [80, 25, 84, 10], 3: [2, 61], 4: [12, 27], 5: [85, 87, 59, 70], 6: [83, 76, 46], 7: [57, 9, 24], 8: [90, 91, 89, 18], 9: [78, 55], 10: [52, 20, 22, 28]}"
13,"{0: [2, 6, 9], 1: [52, 5, 30, 22], 2: [83, 76, 78, 92], 3: [20, 55, 61, 59], 4: [91, 27, 18], 5: [25, 87], 6: [85, 86, 89], 7: [80, 12, 24], 8: [84, 10], 9: [57], 10: [46, 28], 11: [90, 70], 12: [81, 67]}"
13,"{0: [5, 61, 91, 57], 1: [30, 87, 89, 10], 2: [78], 3: [25, 2, 46, 59], 4: [52, 80, 6, 9], 5: [67], 6: [83, 85], 7: [81, 76, 84, 92], 8: [20, 12, 90, 22], 9: [55, 28], 10: [24, 70], 11: [18], 12: [86, 27]}"
11,"{0: [83, 80], 1: [81, 85, 78, 2, 46, 12, 67, 18], 2: [5, 87, 61, 24], 3: [6, 9, 27, 92], 4: [20, 22], 5: [25, 55, 90], 6: [84, 91, 28, 70], 7: [76, 30, 59], 8: [10], 9: [52, 86], 10: [89, 57]}"
12,"{0: [20, 46, 90], 1: [2, 87, 18, 10], 2: [85, 5, 30], 3: [59], 4: [76, 61, 27, 70], 5: [81, 86, 22], 6: [83, 67, 89, 6, 28], 7: [80, 25], 8: [84, 91, 57, 9, 24], 9: [52, 55], 10: [12, 92], 11: [78]}"
12,"{0: [89, 92], 1: [85, 84, 5, 90], 2: [76, 2, 46, 12, 67, 28, 70], 3: [25, 78, 24, 59], 4: [87, 91], 5: [81, 20, 22], 6: [83, 57], 7: [30, 61, 27, 10], 8: [6, 9], 9: [86, 55, 18], 10: [52], 11: [80]}"
11,"{0: [85, 55], 1: [52, 76, 25, 90, 91], 2: [84, 89], 3: [83, 20, 86, 5, 10], 4: [12], 5: [78, 87, 22, 57], 6: [2, 67, 28], 7: [81, 80, 61, 6, 24, 27, 59], 8: [46], 9: [9, 92, 18], 10: [30, 70]}"
13,"{0: [83, 80, 2, 55, 9], 1: [12, 61], 2: [81, 20, 5, 24], 3: [52, 85, 91, 92], 4: [25, 57, 28], 5: [30, 6, 59], 6: [87, 27], 7: [78, 22], 8: [18, 10], 9: [76, 89], 10: [86, 84], 11: [46, 90], 12: [67, 70]}"
13,"{0: [84], 1: [76, 86, 6], 2: [81, 2, 18], 3: [30], 4: [5, 55, 87, 90, 89, 27], 5: [25, 57, 9, 59, 10], 6: [52, 46, 67, 70], 7: [85, 78, 24], 8: [80, 61, 28, 92], 9: [91], 10: [12, 22], 11: [20], 12: [83]}"
13,"{0: [81, 2], 1: [76, 46, 67, 90, 57, 70], 2: [22], 3: [80, 5, 28, 24, 10], 4: [84, 91, 9], 5: [52], 6: [85, 86, 59], 7: [20, 78, 87, 12], 8: [83, 89, 6, 27, 92], 9: [18], 10: [30, 55], 11: [61], 12: [25]}"
11,"{0: [52, 85, 24, 27, 92], 1: [2, 87, 6], 2: [80, 67, 91, 22, 10], 3: [83, 81, 76, 18], 4: [20, 78, 46, 57], 5: [55, 12, 59], 6: [5], 7: [25, 90, 28], 8: [86, 30, 9], 9: [61, 89, 70], 10: [84]}"
12,"{0: [81, 25, 6, 59], 1: [30, 87, 70, 10], 2: [84, 67, 22, 24], 3: [52, 55, 92], 4: [83, 80, 12, 90], 5: [20], 6: [76], 7: [46, 89, 28], 8: [86, 5], 9: [61, 18], 10: [78, 2, 57, 27], 11: [85, 91, 9]}"
10,"{0: [5, 2, 91, 57, 6, 59], 1: [83, 52, 30, 28, 92], 2: [80, 61, 90, 9, 10], 3: [46, 89], 4: [81, 85, 20, 84, 22], 5: [87, 67, 27, 18], 6: [25, 78, 24], 7: [12], 8: [76], 9: [86, 55, 70]}"
12,"{0: [86, 12, 22], 1: [80, 85, 30, 61, 10], 2: [6, 59, 92], 3: [83, 76, 67, 91, 24], 4: [52], 5: [87, 57, 9], 6: [5, 90, 70], 7: [2, 46], 8: [25, 89, 27], 9: [84, 55], 10: [81, 20, 78], 11: [28, 18]}"
12,"{0: [84, 78, 27, 18], 1: [30, 10], 2: [61, 70], 3: [83, 52, 20, 87], 4: [85], 5: [81, 6, 24, 92], 6: [12, 67, 91, 28], 7: [57, 59], 8: [5, 55], 9: [25, 22], 10: [76, 2], 11: [80, 86, 46, 90, 89, 9]}"
11,"{0: [86, 87, 67], 1: [25, 85, 46, 61, 22, 59], 2: [83, 52, 81, 91, 18], 3: [76, 2, 70], 4: [20, 78, 89, 28, 9, 27], 5: [84, 57], 6: [5], 7: [30, 90], 8: [80, 24, 10], 9: [12], 10: [55, 6, 92]}"
12,"{0: [86, 84, 91, 28, 9], 1: [76, 27, 92, 18, 10], 2: [5, 55, 6], 3: [30, 59], 4: [87, 46, 61, 89], 5: [24], 6: [83, 25, 78, 2, 57], 7: [67, 90, 22], 8: [80, 85, 20], 9: [81, 70], 10: [12], 11: [52]}"
13,"{0: [76, 18], 1: [83, 22], 2: [55, 12], 3: [67, 27, 59], 4: [46, 61, 6], 5: [5, 89, 57, 24], 6: [86, 84, 87, 70], 7: [78, 91, 92], 8: [85, 10], 9: [90, 9], 10: [81, 28], 11: [20, 2], 12: [52, 80, 25, 30]}"
10,"{0: [80, 78, 55, 90, 89, 27], 1: [83, 46], 2: [30, 61, 22, 92], 3: [85, 67, 9, 70], 4: [76, 87, 91, 10], 5: [2, 6, 59], 6: [86], 7: [52, 81, 25, 57, 24], 8: [20, 84], 9: [5, 12, 28, 18]}"
12,"{0: [76, 85, 20, 55], 1: [57, 6, 24], 2: [78, 87, 46, 12, 89], 3: [83, 52, 86, 10], 4: [61], 5: [28, 18], 6: [81, 80, 5, 22], 7: [84, 67, 27], 8: [25, 70, 92], 9: [30, 90, 91], 10: [9], 11: [2, 59]}"
10,"{0: [80, 61, 67], 1: [57, 9], 2: [20, 78, 90, 24], 3: [52, 86, 22, 92, 10], 4: [81, 55, 46], 5: [76, 25, 30, 28, 18], 6: [84, 5, 87, 6], 7: [83, 89], 8: [85, 91, 70], 9: [2, 12, 27, 59]}"
14,"{0: [80, 6, 92, 10], 1: [76, 25, 46, 22, 89, 70], 2: [84, 30, 87, 61], 3: [86, 9], 4: [57], 5: [85], 6: [52, 78, 90, 27], 7: [2, 12], 8: [5, 55], 9: [18], 10: [24, 59], 11: [81], 12: [83, 67], 13: [20, 91, 28]}"
12,"{0: [85, 91, 10], 1: [2, 61, 27], 2: [52, 5], 3: [25, 87, 57, 28], 4: [76, 20, 67, 24], 5: [83, 46, 12], 6: [22, 89, 9, 92], 7: [81, 86], 8: [80, 84, 30, 59], 9: [78, 90, 70], 10: [6, 18], 11: [55]}"
14,"{0: [55], 1: [2, 91, 22, 28], 2: [52, 86, 90], 3: [81], 4: [89, 57], 5: [25, 61, 92], 6: [5, 6, 18, 10], 7: [83, 12, 9, 24], 8: [80, 84, 27], 9: [20], 10: [30, 46, 67, 70], 11: [85], 12: [76, 78, 59], 13: [87]}"
12,"{0: [78, 2, 55, 89, 27], 1: [30, 87, 91, 22, 28], 2: [81, 20, 84, 5], 3: [61, 6, 92], 4: [80, 70], 5: [25, 67, 24, 59], 6: [52, 76, 46], 7: [10], 8: [85, 86, 57], 9: [83, 12, 9], 10: [18], 11: [90]}"
13,"{0: [84, 57, 10], 1: [25, 86, 5, 2], 2: [52, 89, 92, 18], 3: [20], 4: [91, 6, 27], 5: [55, 87], 6: [61, 67, 70], 7: [85, 30], 8: [78, 28, 9, 59], 9: [76, 46, 12, 90], 10: [83, 22], 11: [81, 80], 12: [24]}"
12,"{0: [20, 5, 55, 9], 1: [81, 87, 10], 2: [83, 25, 89], 3: [91, 28], 4: [12, 18], 5: [84, 30, 90, 6], 6: [85, 22, 70], 7: [86, 2, 46, 24, 27, 59], 8: [76, 61, 57, 92], 9: [80], 10: [78, 67], 11: [52]}"
13,"{0: [20, 30, 18], 1: [83, 46, 57, 92], 2: [81, 85], 3: [52, 25, 5, 91, 9, 24], 4: [90, 6], 5: [61, 89, 27, 70], 6: [80, 12], 7: [86, 22, 59], 8: [2, 28, 10], 9: [55, 67], 10: [76, 87], 11: [84], 12: [78]}"
13,"{0: [85, 55], 1: [81, 22, 89, 27], 2: [83, 61, 67], 3: [84, 5, 30, 87, 24], 4: [86, 2, 46, 9, 92], 5: [70, 18], 6: [76, 6], 7: [25], 8: [57], 9: [52, 80, 78, 91], 10: [20, 12, 28], 11: [90], 12: [59, 10]}"
13,"{0: [5, 89, 9, 92], 1: [81, 84, 78, 87, 28], 2: [25, 67, 90, 24], 3: [80, 86, 55, 6], 4: [85, 22], 5: [20, 2, 91, 27], 6: [61], 7: [18], 8: [12, 10], 9: [83, 59], 10: [30, 70], 11: [76, 46, 57], 12: [52]}"
12,"{0: [84, 5, 87, 28, 27, 92], 1: [81, 2, 18, 10], 2: [83], 3: [25], 4: [12, 57], 5: [80, 55, 61, 90], 6: [89, 6, 9], 7: [76, 30, 67, 22, 59], 8: [24], 9: [20, 46, 70], 10: [86, 78], 11: [52, 85, 91]}"
11,"{0: [20, 86, 6], 1: [52, 81, 30, 61, 67, 70], 2: [2, 12, 28, 10], 3: [83, 76, 25, 78, 46, 90, 57], 4: [92], 5: [85, 84, 91, 89, 27, 18], 6: [80, 59], 7: [55], 8: [22], 9: [5, 9], 10: [87, 24]}"
13,"{0: [81, 25, 84], 1: [52, 20, 5, 9], 2: [55, 12, 18, 10], 3: [86], 4: [87, 59], 5: [85, 57, 27], 6: [46, 61, 90], 7: [78, 91, 22, 28], 8: [83, 70, 92], 9: [30, 6], 10: [80, 67], 11: [76, 2, 24], 12: [89]}"
12,"{0: [83, 86, 78, 12, 90, 28], 1: [85, 70], 2: [81, 57], 3: [52, 25, 20], 4: [22, 27], 5: [76, 61, 89, 6], 6: [80, 30, 55, 67, 9], 7: [84, 5, 10], 8: [59], 9: [2, 87, 46, 91], 10: [92, 18], 11: [24]}"
14,"{0: [91, 10], 1: [76, 86, 24, 27], 2: [5, 30, 2, 55], 3: [59], 4: [52, 12, 90, 89, 28], 5: [9], 6: [85, 84, 57], 7: [46, 70], 8: [80, 61, 67, 22], 9: [81, 78], 10: [83, 25, 18], 11: [20], 12: [87], 13: [6, 92]}"
14,"{0: [76, 30, 27, 18], 1: [80, 20], 2: [61, 24, 59], 3: [86, 91, 89, 9], 4: [83, 52], 5: [46, 12, 28], 6: [85, 90, 22], 7: [84], 8: [55, 67], 9: [25, 57], 10: [81, 10], 11: [78, 2, 87], 12: [6, 92], 13: [5, 70]}"
14,"{0: [55, 90], 1: [83, 2, 57], 2: [25, 87, 46], 3: [85, 61, 6, 9], 4: [84, 5, 12, 70], 5: [20], 6: [86, 89, 18], 7: [78], 8: [76, 30], 9: [80, 28, 92], 10: [81, 91, 27], 11: [52, 59, 10], 12: [22, 24], 13: [67]}"
13,"{0: [84, 2, 12, 67, 91], 1: [87, 89, 6], 2: [52, 85, 9, 27, 59], 3: [61, 57], 4: [81, 92], 5: [18], 6: [83, 46], 7: [76, 25, 86, 90], 8: [20, 55, 22, 70], 9: [80, 78, 10], 10: [30], 11: [5], 12: [28, 24]}"
14,"{0: [30, 6, 70], 1: [20, 2, 28, 27], 2: [80, 18], 3: [52, 81, 76, 67, 9], 4: [57], 5: [84, 12], 6: [83, 5, 55, 87, 61, 24], 7: [86, 46, 90, 92], 8: [78, 22, 59], 9: [85], 10: [25], 11: [91], 12: [10], 13: [89]}"
15,"{0: [83, 78], 1: [20, 12, 28, 27, 92], 2: [25, 89], 3: [81, 84, 46, 61], 4: [80, 59], 5: [87, 9, 70], 6: [91, 6], 7: [10], 8: [55], 9: [86], 10: [52, 85, 30, 18], 11: [5], 12: [76, 90, 24], 13: [2, 67], 14: [22, 57]}"
10,"{0: [52, 87, 46, 61, 91, 22, 57], 1: [86, 84, 30, 2, 59, 70], 2: [20, 67, 92], 3: [81, 25, 55, 24], 4: [83, 76, 89], 5: [85, 78, 90, 10], 6: [80, 28], 7: [6, 9], 8: [5, 12, 18], 9: [27]}"
13,"{0: [80, 2], 1: [87, 22], 2: [5, 67, 59], 3: [83, 78, 91], 4: [92, 18], 5: [46, 61], 6: [52], 7: [76, 85, 20, 55, 90, 89, 27], 8: [12, 28, 24], 9: [86, 84, 57, 6, 9], 10: [30, 70], 11: [81, 25], 12: [10]}"
16,"{0: [52, 12], 1: [5], 2: [20, 86, 10], 3: [76, 55, 90, 91], 4: [80, 57, 92, 18], 5: [70], 6: [87], 7: [81, 46, 24, 27], 8: [25], 9: [30, 28, 9], 10: [84, 61, 6], 11: [83], 12: [67], 13: [78, 22, 89], 14: [85, 2], 15: [59]}"
14,"{0: [83, 20, 55, 24], 1: [81, 25, 85, 5], 2: [67, 90], 3: [89, 92], 4: [52, 84, 59], 5: [27, 70], 6: [28], 7: [86, 87, 61, 57], 8: [46, 18], 9: [76, 78, 91, 22], 10: [30, 2, 6], 11: [10], 12: [80, 12], 13: [9]}"
13,"{0: [83, 67, 59], 1: [2, 61, 28], 2: [78, 30, 55, 89, 6], 3: [86, 5, 9, 70], 4: [52, 80, 27], 5: [81, 57], 6: [25, 87, 46], 7: [20, 12, 22, 24, 18], 8: [92], 9: [84], 10: [76], 11: [90, 10], 12: [85, 91]}"
12,"{0: [76, 86, 78, 5, 2], 1: [83, 67], 2: [55, 87, 91], 3: [85, 61, 57, 18], 4: [52, 80, 30, 22, 9, 24], 5: [12, 70], 6: [84, 90, 28], 7: [27, 10], 8: [25, 20], 9: [81, 89, 6], 10: [46, 92], 11: [59]}"
13,"{0: [81, 70, 18], 1: [85, 6, 24], 2: [30, 2, 90, 89], 3: [5, 87], 4: [46, 27, 92], 5: [86, 67, 57, 28, 59], 6: [80, 25, 84], 7: [10], 8: [55, 22, 9], 9: [52, 12, 61], 10: [83, 76, 78], 11: [91], 12: [20]}"
14,"{0: [70], 1: [80, 85], 2: [76, 28, 18], 3: [87], 4: [83, 55, 67, 91, 22], 5: [30, 27], 6: [20, 5, 10], 7: [86, 84], 8: [78, 12, 24, 92], 9: [2, 90, 57, 59], 10: [25, 61, 6], 11: [81], 12: [52, 9], 13: [46, 89]}"
13,"{0: [46, 91], 1: [81, 20, 90, 59], 2: [9, 92], 3: [85, 84, 67], 4: [12, 10], 5: [80, 76, 30, 61, 89, 27], 6: [25, 6, 70], 7: [22], 8: [83, 52, 5], 9: [78, 2, 18], 10: [86, 55, 24], 11: [57, 28], 12: [87]}"
11,"{0: [25, 61, 28, 70], 1: [91, 24, 10], 2: [85, 55, 67], 3: [78, 30, 12, 57, 27], 4: [84, 22, 92], 5: [83, 76, 2, 90], 6: [52, 80, 86, 6], 7: [87, 18], 8: [81, 20, 5], 9: [46, 59], 10: [89, 9]}"
15,"{0: [85, 5, 55, 92], 1: [78, 91], 2: [2, 12, 28, 70], 3: [81, 80, 86, 9], 4: [46], 5: [84, 10], 6: [90, 27], 7: [76], 8: [83, 30, 89], 9: [25], 10: [20, 61, 59], 11: [52, 6], 12: [87, 22, 24, 18], 13: [67], 14: [57]}"
14,"{0: [81, 80, 90, 22, 27, 18], 1: [84, 46, 89, 70], 2: [85, 10], 3: [76, 30, 87, 12, 91], 4: [55], 5: [2, 61, 6], 6: [5, 24], 7: [83, 57, 92], 8: [67, 28], 9: [78], 10: [20], 11: [86], 12: [25], 13: [52, 9, 59]}"
12,"{0: [85, 90, 92], 1: [80, 25, 20, 5, 57], 2: [30, 55], 3: [12, 89, 6], 4: [86, 87, 59], 5: [2, 22, 27, 18], 6: [81, 84], 7: [61, 28, 9, 24], 8: [91, 70], 9: [67], 10: [83, 76, 78, 46], 11: [52, 10]}"
14,"{0: [81, 76, 2], 1: [83, 46, 67, 90], 2: [52, 80, 78, 87], 3: [30, 12, 89, 9], 4: [55, 57, 59], 5: [5, 18], 6: [25, 61, 91], 7: [84, 6], 8: [24, 10], 9: [27], 10: [86], 11: [85, 20, 70], 12: [22, 92], 13: [28]}"
12,"{0: [76, 12, 89, 28, 27], 1: [81, 85, 84, 46, 6, 70, 92], 2: [5, 30, 18], 3: [20, 61, 9], 4: [83, 87, 91], 5: [2, 67, 90], 6: [86, 59], 7: [22], 8: [80, 25, 24], 9: [78, 55], 10: [52, 10], 11: [57]}"
12,"{0: [25, 22], 1: [85, 89, 28, 24], 2: [6, 27, 70], 3: [86, 2, 67, 9, 59], 4: [83], 5: [81, 5], 6: [80, 12, 18], 7: [52, 20, 61, 57], 8: [76, 46, 90], 9: [84, 78, 55, 87, 10], 10: [91, 92], 11: [30]}"
15,"{0: [80, 12, 9], 1: [78, 89], 2: [87, 46, 61], 3: [52, 90], 4: [20, 57, 28, 27], 5: [76, 2, 10], 6: [81, 84], 7: [25, 67, 91], 8: [85, 70], 9: [86, 5, 30, 24], 10: [22, 6, 18], 11: [83], 12: [55], 13: [92], 14: [59]}"
13,"{0: [52, 5, 2, 46, 22], 1: [67, 6, 28], 2: [89, 57], 3: [86, 30, 12, 18, 10], 4: [61, 90, 9], 5: [80, 91, 92], 6: [20, 55, 87, 70], 7: [83, 85, 24], 8: [78, 59], 9: [84, 27], 10: [81], 11: [25], 12: [76]}"
13,"{0: [83, 81, 84, 90], 1: [85, 12, 6], 2: [5, 2, 91, 59, 18], 3: [55, 61, 24], 4: [52, 30, 87], 5: [57, 27], 6: [86, 22, 10], 7: [9], 8: [67, 28, 70, 92], 9: [25, 78], 10: [80, 46], 11: [76, 20], 12: [89]}"
13,"{0: [46, 22, 89, 59, 10], 1: [27], 2: [80, 55, 91, 70], 3: [84, 2, 61, 90], 4: [83, 85, 78, 30], 5: [81, 87], 6: [67, 92], 7: [76, 12, 28], 8: [25, 20, 5, 24], 9: [6, 18], 10: [86], 11: [57, 9], 12: [52]}"
13,"{0: [81], 1: [83, 80, 5, 2, 87, 89, 18], 2: [25, 86, 78, 90, 91, 59], 3: [61, 10], 4: [12, 67, 92], 5: [52, 57], 6: [76, 9, 70], 7: [20, 46], 8: [22, 6, 28], 9: [30], 10: [85, 27], 11: [24], 12: [84, 55]}"
13,"{0: [83, 76, 90, 18], 1: [61, 22], 2: [2, 46], 3: [80, 85, 78, 24], 4: [5, 55, 87, 57, 6], 5: [20, 67, 89], 6: [27, 70], 7: [52, 12, 10], 8: [25, 84, 91], 9: [86, 30, 28, 9], 10: [92], 11: [59], 12: [81]}"
12,"{0: [52, 5, 55, 9, 24, 92], 1: [80, 78], 2: [87, 70], 3: [76, 27], 4: [83, 84, 67], 5: [86, 46, 22, 89, 57, 59], 6: [81, 20], 7: [12], 8: [6, 28, 18], 9: [2, 90, 10], 10: [85], 11: [25, 30, 61, 91]}"
12,"{0: [55, 12], 1: [83, 52], 2: [84, 2, 87, 90, 28, 10], 3: [80, 86, 70], 4: [5, 9, 92], 5: [85, 78, 30, 91, 22, 27], 6: [81, 76, 46, 67, 59], 7: [61, 89, 57], 8: [18], 9: [25, 6], 10: [24], 11: [20]}"
12,"{0: [52, 46, 61, 90], 1: [85, 78], 2: [20, 91, 22], 3: [81, 25, 86, 87, 27, 92], 4: [28, 9, 10], 5: [5, 89, 57, 6], 6: [84, 70], 7: [59], 8: [30, 67], 9: [2, 55, 12, 18], 10: [83, 80, 76], 11: [24]}"
11,"{0: [55], 1: [81, 80, 5, 6], 2: [52, 30, 87, 59], 3: [84, 24], 4: [12, 67], 5: [76, 25, 2, 91, 57, 28], 6: [78, 46, 70, 92, 10], 7: [89, 9], 8: [90], 9: [85, 86, 18], 10: [83, 20, 61, 22, 27]}"
11,"{0: [83, 87, 12, 22], 1: [76], 2: [5, 30, 18, 10], 3: [6], 4: [84, 61, 90, 9, 24], 5: [81, 78, 91, 27], 6: [85, 55, 28, 59], 7: [25, 20, 46, 57, 92], 8: [86, 2, 70], 9: [80, 67, 89], 10: [52]}"
16,"{0: [57], 1: [83], 2: [86, 90, 9], 3: [80, 76, 2, 12, 28], 4: [20, 27], 5: [5, 30, 55], 6: [61], 7: [46, 6, 70], 8: [52, 25, 85, 91], 9: [67], 10: [81, 84, 89, 59], 11: [78, 18], 12: [92], 13: [87, 22], 14: [24], 15: [10]}"
13,"{0: [81, 86, 87, 57], 1: [80, 55, 27, 59], 2: [78, 22, 18], 3: [76, 85, 9], 4: [84, 12, 91], 5: [20, 30, 28, 92], 6: [2, 61, 67], 7: [70], 8: [25, 89], 9: [52, 46, 90, 6], 10: [5], 11: [24, 10], 12: [83]}"
12,"{0: [81, 25, 12, 28], 1: [55, 24, 92, 18], 2: [83, 20, 86, 57], 3: [61, 59], 4: [6, 27], 5: [84, 90, 70], 6: [46, 91, 89], 7: [80, 85, 78, 10], 8: [52, 76, 22, 9], 9: [5, 30], 10: [2], 11: [87, 67]}"
11,"{0: [83, 5, 61, 57, 92], 1: [30, 18], 2: [85, 84, 78, 9, 70], 3: [52, 67, 91], 4: [2, 90], 5: [80, 25, 20, 27, 59], 6: [86, 55, 46, 12, 89, 6, 10], 7: [22, 24], 8: [81, 28], 9: [87], 10: [76]}"
17,"{0: [61, 9], 1: [85, 24], 2: [5, 28], 3: [25], 4: [52, 80, 30, 6], 5: [22, 57, 59], 6: [81, 20, 84, 46, 91, 89], 7: [2, 70], 8: [87, 18], 9: [90], 10: [12], 11: [55, 27, 10], 12: [83], 13: [86], 14: [78, 92], 15: [67], 16: [76]}"
12,"{0: [52, 80, 61], 1: [85, 78, 5], 2: [30, 87, 91], 3: [84, 12, 22, 28, 9], 4: [25, 86], 5: [27, 10], 6: [81, 46, 57, 70], 7: [20, 55, 67, 92], 8: [24], 9: [83, 90, 59], 10: [76, 89, 6, 18], 11: [2]}"
12,"{0: [85, 30, 46, 92], 1: [86, 12, 91, 57, 6, 59], 2: [87, 67], 3: [25, 22, 24], 4: [2, 90, 10], 5: [76, 20, 78], 6: [55, 89], 7: [83, 9], 8: [84, 61, 27, 70], 9: [80, 18], 10: [81, 28], 11: [52, 5]}"
8,"{0: [76, 86, 84, 78, 5, 30, 12, 9, 24, 27], 1: [70], 2: [81, 80, 25, 87, 67, 91, 57, 6, 59], 3: [22, 89], 4: [52, 85, 2, 10], 5: [90, 28], 6: [55, 18], 7: [83, 20, 46, 61, 92]}"
14,"{0: [20, 57], 1: [52, 55, 10], 2: [81, 67, 90, 92], 3: [85, 5, 46, 70], 4: [12, 89, 24], 5: [78, 2, 61, 6, 28], 6: [83, 25, 9], 7: [86], 8: [80, 18], 9: [30], 10: [84], 11: [91], 12: [87, 59], 13: [76, 22, 27]}"
12,"{0: [80, 55, 10], 1: [12, 28], 2: [83, 5, 87, 61, 57], 3: [84, 78, 2], 4: [67, 90, 91, 27], 5: [89, 6], 6: [81, 86], 7: [52, 25, 46, 24, 59, 92], 8: [85, 30], 9: [20, 22, 18], 10: [76], 11: [9, 70]}"
