Task_Groups,Number_of_Task_Groups
"{0: [6, 28, 70], 1: [86, 87], 2: [81, 20], 3: [25, 55, 90, 22, 59], 4: [91, 27], 5: [78, 57], 6: [30], 7: [85, 84, 9, 10], 8: [83, 76, 2], 9: [52, 46, 12], 10: [67, 89, 92], 11: [61], 12: [5], 13: [80, 18], 14: [24]}",15
"{0: [52, 61, 91], 1: [87, 12, 18], 2: [81, 78, 2, 9, 27, 59, 92], 3: [80, 89, 24], 4: [67, 57], 5: [85, 84, 22], 6: [5], 7: [83, 86, 90, 10], 8: [25, 30, 46, 6, 70], 9: [76, 28], 10: [55], 11: [20]}",12
"{0: [6, 27], 1: [91, 57, 92, 18], 2: [80, 86, 28], 3: [81, 25, 90, 59, 70], 4: [76, 9, 24], 5: [20, 46, 22, 10], 6: [84, 30, 87, 89], 7: [2, 55, 12], 8: [83, 61], 9: [52, 85, 78, 67], 10: [5]}",11
"{0: [81, 76, 2], 1: [83, 46, 67, 90], 2: [52, 80, 78, 87], 3: [30, 12, 89, 9], 4: [55, 57, 59], 5: [5, 18], 6: [25, 61, 91], 7: [84, 6], 8: [24, 10], 9: [27], 10: [86], 11: [85, 20, 70], 12: [22, 92], 13: [28]}",14
"{0: [83, 30, 87, 91], 1: [84, 78, 89, 6, 18], 2: [25, 20, 22, 9], 3: [67, 27, 59, 92], 4: [52, 55, 61, 90, 10], 5: [81, 80, 46, 24], 6: [28], 7: [85, 5, 2, 70], 8: [12, 57], 9: [86], 10: [76]}",11
"{0: [59, 18], 1: [85, 91], 2: [25, 5, 2, 89, 92, 10], 3: [90], 4: [83, 52], 5: [22], 6: [87, 12], 7: [76, 86, 30, 9, 24], 8: [20, 6], 9: [80, 61], 10: [81, 28, 27], 11: [78, 57], 12: [55], 13: [70], 14: [84], 15: [46], 16: [67]}",17
"{0: [80, 20, 30, 2], 1: [83, 52, 85, 90, 27], 2: [12], 3: [81, 25, 70], 4: [86, 61], 5: [57, 59], 6: [6], 7: [76, 84, 28, 10], 8: [78, 18], 9: [89], 10: [67, 9], 11: [92], 12: [87, 91], 13: [5, 22], 14: [55], 15: [24], 16: [46]}",17
"{0: [57, 6, 9, 70], 1: [24], 2: [78, 92, 18], 3: [2, 55, 61, 27], 4: [22, 59], 5: [83, 80, 85, 5, 46, 12, 91, 89], 6: [52, 84, 87], 7: [67], 8: [25, 86, 90, 28, 10], 9: [20], 10: [76, 30], 11: [81]}",12
"{0: [5, 12, 67], 1: [52, 25, 30], 2: [81, 76, 46, 91, 28, 9, 18], 3: [10], 4: [20, 22], 5: [24, 27, 59], 6: [6, 70], 7: [80], 8: [2, 55, 87], 9: [83, 78, 90, 89], 10: [85, 86], 11: [84, 92], 12: [61, 57]}",13
"{0: [30, 12, 89], 1: [25, 57, 24], 2: [27], 3: [84, 78, 2, 91, 59], 4: [55, 28, 9], 5: [85, 86, 5, 87, 6], 6: [81, 76], 7: [80, 10], 8: [83, 20, 90, 70, 92], 9: [61, 18], 10: [52, 67], 11: [46], 12: [22]}",13
"{0: [55, 70, 92], 1: [52, 80, 59, 10], 2: [9], 3: [86, 22], 4: [81, 84, 67, 90], 5: [28], 6: [76, 5, 91], 7: [83, 2, 6], 8: [85, 18], 9: [78, 24], 10: [20, 87, 61, 27], 11: [46, 12, 89], 12: [25, 30, 57]}",13
"{0: [76, 86, 78, 2], 1: [85, 55, 59, 70], 2: [81, 25, 12, 91, 27], 3: [84, 87, 22, 92], 4: [67, 9], 5: [5, 89, 57], 6: [20, 46, 24, 10], 7: [52, 6, 28], 8: [83, 18], 9: [80], 10: [30, 61], 11: [90]}",12
"{0: [20, 5, 67, 57, 10], 1: [87, 12, 90, 9, 27, 92], 2: [2, 46, 91, 22], 3: [83, 81, 28], 4: [30, 61, 24], 5: [89, 18], 6: [85, 84, 78], 7: [76], 8: [52, 25, 86, 55, 6], 9: [80, 70], 10: [59]}",11
"{0: [20, 30, 2, 46], 1: [83, 84, 12], 2: [76, 55, 87, 24], 3: [67, 59, 92], 4: [52, 25], 5: [85], 6: [81, 22, 6, 27, 10], 7: [5, 89, 28, 18], 8: [80, 78, 91, 57, 9], 9: [86], 10: [61], 11: [70], 12: [90]}",13
"{0: [52, 81, 90, 27], 1: [84, 78, 55, 46, 57, 6, 10], 2: [80, 76, 86, 91, 28], 3: [85, 87, 24], 4: [25, 12, 9], 5: [22, 59], 6: [2, 61, 70, 92], 7: [18], 8: [20, 89], 9: [83], 10: [5, 30], 11: [67]}",12
"{0: [25, 2], 1: [52, 76, 84, 90, 22, 92], 2: [67, 10], 3: [85, 61, 91, 57], 4: [78, 87, 46, 6], 5: [80, 20, 30, 55], 6: [12, 28, 9], 7: [27, 59], 8: [83, 5, 70, 18], 9: [89], 10: [86, 24], 11: [81]}",12
"{0: [5, 91, 18], 1: [84, 30, 12, 90, 92, 10], 2: [57, 9], 3: [25, 78, 87, 59], 4: [76, 20], 5: [70], 6: [46, 6, 28], 7: [80, 2], 8: [52, 81, 55, 89], 9: [86, 67, 22], 10: [24], 11: [61], 12: [83, 27], 13: [85]}",14
"{0: [24, 59, 10], 1: [84, 12, 61, 57], 2: [81, 85, 87, 18], 3: [86, 5], 4: [52, 80], 5: [83, 46, 9], 6: [91], 7: [78, 55, 90, 6, 70], 8: [2, 22, 92], 9: [20], 10: [76, 28], 11: [25, 67], 12: [89], 13: [30, 27]}",14
"{0: [46, 12, 28], 1: [25, 22, 89, 10], 2: [2, 27, 59, 70], 3: [91], 4: [76, 20, 5, 30, 90, 24, 92], 5: [52, 80, 61, 18], 6: [83, 85, 78, 57], 7: [86, 55, 67], 8: [6, 9], 9: [84, 87], 10: [81]}",11
"{0: [81, 76, 25, 61, 67, 92], 1: [5, 46, 12, 57, 24], 2: [20, 86, 30, 9, 70], 3: [52, 91, 59, 18], 4: [78], 5: [2, 90], 6: [85, 55, 87], 7: [89, 10], 8: [80, 6, 27], 9: [83, 84, 22], 10: [28]}",11
"{0: [83, 25, 20, 86, 61], 1: [52, 5, 30, 89], 2: [6, 92, 10], 3: [85, 22, 27, 18], 4: [84], 5: [12, 91, 28], 6: [81, 2], 7: [46, 24], 8: [80, 9, 70], 9: [90, 57, 59], 10: [67], 11: [76, 78, 87], 12: [55]}",13
"{0: [27], 1: [30, 92], 2: [76, 91, 89, 57, 59], 3: [52, 5], 4: [85, 46, 67, 9], 5: [86, 84, 55, 28, 10], 6: [81, 78, 87, 90, 22, 70], 7: [83, 12], 8: [25], 9: [80, 61, 6, 24], 10: [2], 11: [20, 18]}",12
"{0: [52, 91, 89, 27], 1: [78, 2, 55, 22, 59], 2: [30, 61, 67, 90], 3: [24], 4: [87, 6], 5: [86, 5, 18], 6: [85, 20], 7: [81, 92, 10], 8: [12, 9, 70], 9: [76, 25, 46], 10: [80, 28], 11: [83, 84, 57]}",12
"{0: [20, 86, 28, 59, 10], 1: [52, 61, 22, 24, 18], 2: [25, 30, 87, 9], 3: [12, 67], 4: [80, 84, 46, 6, 92], 5: [83, 2, 91], 6: [76, 85, 5, 57], 7: [55], 8: [89], 9: [78, 27], 10: [70], 11: [90], 12: [81]}",13
"{0: [83, 5, 22, 59], 1: [85, 86, 2, 12, 27], 2: [81, 24, 92], 3: [52, 55, 67, 9], 4: [80, 78, 57], 5: [87, 10], 6: [91, 89, 18], 7: [76, 20, 46], 8: [6], 9: [84, 61, 90, 28, 70], 10: [30], 11: [25]}",12
"{0: [5, 67, 57, 70], 1: [83, 52, 2], 2: [85, 55, 12, 6, 27], 3: [25, 86, 78, 30, 91, 9, 59], 4: [22, 89], 5: [80, 76, 87], 6: [24, 18, 10], 7: [81], 8: [20, 46, 90], 9: [61], 10: [84, 28], 11: [92]}",12
"{0: [67, 90], 1: [22], 2: [83, 52, 20, 46], 3: [2, 89, 10], 4: [85, 84, 87, 12, 9, 70], 5: [76, 78, 55, 91, 6, 59], 6: [80, 25, 86, 61, 57], 7: [92, 18], 8: [81, 30, 24, 27], 9: [5, 28]}",10
"{0: [83, 67, 89, 59], 1: [86, 2, 9, 27], 2: [90, 70, 10], 3: [81, 76, 78, 12], 4: [80, 85, 46, 91], 5: [25, 24, 18], 6: [52, 87, 6, 28], 7: [20, 92], 8: [30, 22], 9: [84, 55], 10: [5, 57], 11: [61]}",12
"{0: [83, 91, 9], 1: [80, 2, 55, 6], 2: [78, 57], 3: [86, 46, 24, 59], 4: [84, 10], 5: [30, 61, 22], 6: [25, 5, 67], 7: [81, 85], 8: [20, 87, 90], 9: [52, 89], 10: [28, 27], 11: [70, 18], 12: [76, 92], 13: [12]}",14
"{0: [76, 86, 70], 1: [80, 5, 61, 67, 91, 28], 2: [83, 20, 22, 89, 92], 3: [90], 4: [25, 87, 6, 24], 5: [81, 55, 46], 6: [52, 78, 30], 7: [12], 8: [84, 18, 10], 9: [57, 27], 10: [85], 11: [2, 9], 12: [59]}",13
"{0: [28, 59], 1: [87, 27], 2: [80, 5, 9, 18], 3: [84, 78, 30, 67, 90, 6, 92], 4: [52, 46], 5: [61], 6: [86, 2, 55, 22], 7: [83, 20, 91, 24], 8: [25, 57], 9: [12, 89], 10: [81], 11: [76, 85, 70, 10]}",12
"{0: [84, 55, 24, 70, 10], 1: [81, 2, 87, 67, 89, 57], 2: [83, 52, 22, 28, 59], 3: [80, 20, 5, 61, 18], 4: [30, 91, 9], 5: [78, 27, 92], 6: [25, 46, 6], 7: [86, 90], 8: [76, 85, 12]}",9
"{0: [80, 25, 85, 5], 1: [86, 78], 2: [46, 24], 3: [20, 12, 91, 89], 4: [55, 87, 67, 6, 9, 92], 5: [2, 22, 70], 6: [83, 52, 30, 90], 7: [81, 84], 8: [76, 61], 9: [57, 59, 18, 10], 10: [28, 27]}",11
"{0: [25, 85, 28, 10], 1: [22, 70, 92], 2: [67, 91, 18], 3: [52, 84, 2, 46, 90, 24, 27], 4: [76, 78, 6], 5: [81, 20, 12, 9], 6: [5], 7: [80, 86, 55, 61], 8: [83, 89, 57, 59], 9: [30], 10: [87]}",11
"{0: [30, 90, 89, 24, 92], 1: [80, 86, 78, 2, 57], 2: [67, 22, 6, 27], 3: [91, 9], 4: [52, 87, 46, 59, 70], 5: [84, 61], 6: [12, 18], 7: [81, 85, 10], 8: [25, 20], 9: [83, 55], 10: [28], 11: [76, 5]}",12
"{0: [20, 57], 1: [52, 55, 10], 2: [81, 67, 90, 92], 3: [85, 5, 46, 70], 4: [12, 89, 24], 5: [78, 2, 61, 6, 28], 6: [83, 25, 9], 7: [86], 8: [80, 18], 9: [30], 10: [84], 11: [91], 12: [87, 59], 13: [76, 22, 27]}",14
"{0: [81, 2, 67], 1: [89, 24, 27], 2: [80, 55], 3: [76, 20, 90, 22, 59, 18], 4: [84, 46, 61], 5: [30, 57], 6: [85, 12, 6, 70], 7: [91, 28], 8: [83, 52, 5, 87, 10], 9: [25, 78], 10: [92], 11: [86], 12: [9]}",13
"{0: [83, 81, 84, 90], 1: [85, 12, 6], 2: [5, 2, 91, 59, 18], 3: [55, 61, 24], 4: [52, 30, 87], 5: [57, 27], 6: [86, 22, 10], 7: [9], 8: [67, 28, 70, 92], 9: [25, 78], 10: [80, 46], 11: [76, 20], 12: [89]}",13
"{0: [78, 30, 2, 46], 1: [52, 85, 12, 67, 6, 28, 24, 70, 10], 2: [25, 55], 3: [86, 90], 4: [83, 20, 91, 9, 27], 5: [5, 22, 18], 6: [76, 87, 89], 7: [80, 92], 8: [84, 57], 9: [81, 59], 10: [61]}",11
"{0: [20, 84, 57, 24], 1: [80, 55, 67, 92, 10], 2: [61, 91, 28, 59], 3: [81, 78], 4: [52, 12, 27], 5: [90, 9], 6: [89, 6, 70], 7: [30], 8: [83, 5], 9: [85, 86], 10: [2, 46], 11: [87, 18], 12: [76, 25], 13: [22]}",14
"{0: [81, 76, 55, 24, 27], 1: [85, 78, 46, 89, 59], 2: [52, 20, 12, 9], 3: [90, 92], 4: [84, 61], 5: [80, 86, 6, 70], 6: [5, 67, 91, 57, 18], 7: [25, 28], 8: [30, 2, 87, 22, 10], 9: [83]}",10
"{0: [85, 91], 1: [22], 2: [83, 20, 61, 28, 24], 3: [90, 70, 92], 4: [52, 12, 67, 27, 59], 5: [81, 78, 2, 55, 6, 10], 6: [80, 84], 7: [5, 57, 9], 8: [25, 86, 89, 18], 9: [76, 30], 10: [87, 46]}",11
"{0: [52, 76, 85, 30, 55, 59], 1: [2, 24], 2: [80, 20, 84, 12, 6, 10], 3: [78, 18], 4: [57], 5: [81, 91, 89, 27], 6: [83, 25, 5, 46, 61], 7: [87, 28, 9, 70, 92], 8: [86, 22], 9: [67, 90]}",10
"{0: [52, 25, 85, 20, 10], 1: [89], 2: [30, 91, 9], 3: [83, 80, 46, 67], 4: [5, 27, 70, 92], 5: [81, 2], 6: [86, 87, 28, 24, 18], 7: [84, 12, 90], 8: [61, 59], 9: [22, 6], 10: [76], 11: [78], 12: [55], 13: [57]}",14
"{0: [83, 78], 1: [20, 12, 28, 27, 92], 2: [25, 89], 3: [81, 84, 46, 61], 4: [80, 59], 5: [87, 9, 70], 6: [91, 6], 7: [10], 8: [55], 9: [86], 10: [52, 85, 30, 18], 11: [5], 12: [76, 90, 24], 13: [2, 67], 14: [22, 57]}",15
"{0: [12, 22, 28, 9], 1: [76, 89, 70], 2: [85, 86, 55, 46, 24, 27], 3: [78, 5, 30, 6, 59], 4: [20, 84, 57, 92, 18], 5: [87, 10], 6: [2, 91], 7: [25], 8: [52, 81], 9: [83, 61, 67, 90], 10: [80]}",11
"{0: [83, 80, 2, 55, 9], 1: [12, 61], 2: [81, 20, 5, 24], 3: [52, 85, 91, 92], 4: [25, 57, 28], 5: [30, 6, 59], 6: [87, 27], 7: [78, 22], 8: [18, 10], 9: [76, 89], 10: [86, 84], 11: [46, 90], 12: [67, 70]}",13
"{0: [81, 76, 25, 84, 12, 59], 1: [57], 2: [30, 6, 24], 3: [83, 5, 55, 61, 90, 89, 18], 4: [52, 87, 91, 22, 70], 5: [80, 67, 28, 9, 92], 6: [20, 78], 7: [2, 10], 8: [46], 9: [85, 27], 10: [86]}",11
"{0: [28, 59, 18], 1: [46, 91], 2: [25, 30, 9], 3: [5, 12], 4: [80, 85, 20, 61, 22, 10], 5: [24, 27], 6: [76, 6], 7: [90], 8: [83, 52, 55], 9: [67, 89], 10: [81, 78, 2, 92], 11: [87, 57], 12: [84], 13: [86, 70]}",14
"{0: [85, 86, 55, 46], 1: [76, 90, 27], 2: [78, 57, 28], 3: [52, 67, 24], 4: [87, 6], 5: [83, 81, 12, 22, 89, 18], 6: [20, 5, 30, 9, 59, 92], 7: [25, 2, 91, 10], 8: [80, 84], 9: [61, 70]}",10
"{0: [2, 24, 59], 1: [52, 80, 76, 91, 22, 6, 70], 2: [89, 9], 3: [83, 5], 4: [30], 5: [78, 46, 61, 57, 27], 6: [87, 28, 92, 18], 7: [86, 12, 10], 8: [81, 25, 20, 84, 90], 9: [85, 67], 10: [55]}",11
"{0: [85, 91, 10], 1: [2, 61, 27], 2: [52, 5], 3: [25, 87, 57, 28], 4: [76, 20, 67, 24], 5: [83, 46, 12], 6: [22, 89, 9, 92], 7: [81, 86], 8: [80, 84, 30, 59], 9: [78, 90, 70], 10: [6, 18], 11: [55]}",12
"{0: [84, 5, 2, 6, 28], 1: [25, 20, 87, 57, 59], 2: [52, 80, 90, 22, 24], 3: [81, 70], 4: [92, 18], 5: [76, 67, 89, 9], 6: [85], 7: [30, 91, 10], 8: [12, 61], 9: [83, 55], 10: [46, 27], 11: [78], 12: [86]}",13
"{0: [80, 6, 92, 10], 1: [76, 25, 46, 22, 89, 70], 2: [84, 30, 87, 61], 3: [86, 9], 4: [57], 5: [85], 6: [52, 78, 90, 27], 7: [2, 12], 8: [5, 55], 9: [18], 10: [24, 59], 11: [81], 12: [83, 67], 13: [20, 91, 28]}",14
"{0: [84, 6], 1: [12, 61], 2: [76, 25, 55, 87, 28], 3: [20, 90], 4: [5, 59], 5: [83, 78], 6: [81, 22, 89, 9, 27], 7: [80, 24], 8: [67, 10], 9: [52, 85], 10: [30, 46, 57, 70, 92], 11: [18], 12: [86, 91], 13: [2]}",14
"{0: [86, 28, 18, 10], 1: [76, 46, 61, 89], 2: [83, 78, 57, 92], 3: [81, 2, 55, 91, 59], 4: [25, 24], 5: [20, 9], 6: [84, 5, 12, 22], 7: [52], 8: [87], 9: [30], 10: [6, 70], 11: [27], 12: [85, 90], 13: [80], 14: [67]}",15
"{0: [85, 86, 5, 46, 70], 1: [76, 25, 2, 61], 2: [30, 67, 22, 24, 59], 3: [55, 12], 4: [83, 52, 81, 78, 89, 6, 18], 5: [80, 87, 28], 6: [91], 7: [57, 9, 10], 8: [90, 92], 9: [27], 10: [20], 11: [84]}",12
"{0: [90, 28, 24], 1: [20, 87], 2: [46, 57], 3: [78, 12, 70], 4: [76, 85], 5: [91, 59, 18], 6: [81, 2], 7: [25, 86, 5, 30, 67, 92], 8: [83, 52, 84, 89, 6], 9: [22, 27], 10: [61, 9], 11: [80, 10], 12: [55]}",13
"{0: [25, 20, 57], 1: [76, 55, 89, 9], 2: [30, 46, 91], 3: [85, 28], 4: [22, 24], 5: [2, 87], 6: [86, 92], 7: [59, 70], 8: [78, 12, 67, 90, 6, 10], 9: [83, 5, 18], 10: [81, 80, 84, 61], 11: [52, 27]}",12
"{0: [87, 89, 6, 28], 1: [76, 86, 30, 91, 92, 18, 10], 2: [24], 3: [83, 20, 5], 4: [52, 25, 85, 84, 78, 22, 9], 5: [61, 57, 59], 6: [70], 7: [80, 55, 90, 27], 8: [81, 2], 9: [12], 10: [67], 11: [46]}",12
"{0: [83, 80, 22, 28, 9], 1: [52, 76, 20, 55, 92], 2: [12, 61, 18], 3: [30, 90, 89, 6, 10], 4: [87, 91, 70], 5: [85, 84, 46], 6: [25, 24], 7: [27], 8: [57], 9: [78, 5, 67], 10: [81, 86, 59], 11: [2]}",12
"{0: [83], 1: [86, 22, 9], 2: [25, 24, 18], 3: [76, 57, 28], 4: [81, 78], 5: [52, 2, 59], 6: [5, 87, 67, 89], 7: [6], 8: [80, 46, 12, 90, 70], 9: [27], 10: [55], 11: [85, 84, 10], 12: [30], 13: [20, 61], 14: [92], 15: [91]}",16
"{0: [25, 55, 9, 24], 1: [80, 85, 91, 57, 59, 18], 2: [52, 22, 28], 3: [81, 46], 4: [5, 90, 89, 10], 5: [30, 6, 27], 6: [83, 76, 70], 7: [61], 8: [84, 67], 9: [78, 12, 92], 10: [20, 87], 11: [86], 12: [2]}",13
"{0: [25, 12, 57], 1: [30, 2, 27], 2: [84, 78, 46, 24], 3: [80, 76, 55, 90, 6, 9], 4: [83, 52, 85, 61, 28], 5: [81, 87, 22, 89, 59, 10], 6: [91], 7: [20, 70], 8: [86, 67, 18], 9: [5, 92]}",10
"{0: [80, 84, 89], 1: [25, 86, 70, 92], 2: [46, 90, 57, 18], 3: [20, 2], 4: [83, 87], 5: [76, 78, 5, 24], 6: [67, 10], 7: [85, 30, 6], 8: [12, 9, 59], 9: [81, 55, 61, 91, 22, 28, 27], 10: [52]}",11
"{0: [52, 81, 22], 1: [76, 25, 78, 46, 28], 2: [55, 87, 91, 10], 3: [83, 85, 90, 24], 4: [20, 12, 6], 5: [86, 89, 92], 6: [80, 57], 7: [2, 18], 8: [59], 9: [84, 30, 27], 10: [61, 70], 11: [5, 67, 9]}",12
"{0: [81, 89, 9, 92], 1: [52], 2: [28], 3: [46, 10], 4: [25, 57, 18], 5: [83, 80, 30, 55, 22], 6: [76, 84, 90], 7: [85, 86, 78, 12, 67, 91], 8: [5, 27, 70], 9: [20, 61, 24], 10: [2, 87, 6], 11: [59]}",12
"{0: [85, 20, 55, 89, 27], 1: [52, 2, 18], 2: [80, 87, 67, 9, 24, 10], 3: [22, 28], 4: [86], 5: [25, 90, 91, 92], 6: [84, 12], 7: [61], 8: [83, 76, 6], 9: [59, 70], 10: [30, 46], 11: [5, 57], 12: [81, 78]}",13
"{0: [25], 1: [12, 59, 10], 2: [86, 61, 67, 24], 3: [55, 22], 4: [76, 20, 90], 5: [6, 92], 6: [52, 30, 28, 27, 18], 7: [85], 8: [81, 2, 89], 9: [78, 57], 10: [70], 11: [80, 84, 87, 46, 91], 12: [5, 9], 13: [83]}",14
"{0: [57, 27], 1: [80, 85, 78, 55, 87, 10], 2: [76, 46, 67], 3: [22, 24, 59], 4: [52, 5, 61, 28, 92], 5: [83, 81, 86, 9], 6: [2, 18], 7: [84, 70], 8: [25], 9: [12], 10: [20, 30], 11: [90], 12: [6], 13: [91, 89]}",14
"{0: [83, 12, 59], 1: [80, 78, 91, 18, 10], 2: [20, 90, 6], 3: [5, 87, 9], 4: [84, 57], 5: [55, 46, 67, 70], 6: [81, 2], 7: [28, 24], 8: [27], 9: [25, 30], 10: [22, 89], 11: [85, 92], 12: [86, 61], 13: [52, 76]}",14
"{0: [81, 22, 70], 1: [76, 20, 61, 89, 27], 2: [25, 24, 92, 18], 3: [85, 78, 5, 67], 4: [86, 84, 55, 57], 5: [52, 87, 46, 12, 6, 10], 6: [83, 59], 7: [30, 90, 28, 9], 8: [80, 91], 9: [2]}",10
"{0: [83, 20, 90], 1: [81, 30, 91, 59], 2: [76], 3: [80, 84, 18], 4: [12, 57, 24], 5: [86, 5, 61], 6: [25, 9], 7: [55, 89], 8: [78, 87], 9: [52, 85, 46], 10: [67, 28], 11: [10], 12: [2], 13: [22, 70], 14: [6, 27], 15: [92]}",16
"{0: [20, 46, 90], 1: [2, 87, 18, 10], 2: [85, 5, 30], 3: [59], 4: [76, 61, 27, 70], 5: [81, 86, 22], 6: [83, 67, 89, 6, 28], 7: [80, 25], 8: [84, 91, 57, 9, 24], 9: [52, 55], 10: [12, 92], 11: [78]}",12
"{0: [90, 91, 18], 1: [52, 80, 20, 28, 24], 2: [81, 85, 78, 2, 59], 3: [76, 67, 22], 4: [83, 55, 46, 89, 10], 5: [61, 92], 6: [84, 87, 6], 7: [25, 86, 30, 12], 8: [9], 9: [5, 57], 10: [27, 70]}",11
"{0: [30, 6, 70], 1: [20, 2, 28, 27], 2: [80, 18], 3: [52, 81, 76, 67, 9], 4: [57], 5: [84, 12], 6: [83, 5, 55, 87, 61, 24], 7: [86, 46, 90, 92], 8: [78, 22, 59], 9: [85], 10: [25], 11: [91], 12: [10], 13: [89]}",14
"{0: [83, 22, 18], 1: [55, 28, 70], 2: [80, 25, 46, 91, 9], 3: [52, 84, 5, 27], 4: [81, 76, 89, 6], 5: [20, 87, 67, 92], 6: [86, 12, 90, 57, 59], 7: [85, 30, 2], 8: [24, 10], 9: [61], 10: [78]}",11
"{0: [5, 46], 1: [80, 55, 89, 28, 59], 2: [78, 92], 3: [57], 4: [52, 76, 86, 84, 12, 27, 70], 5: [90, 22], 6: [6, 9], 7: [30, 91], 8: [83, 25, 87, 24], 9: [85, 61, 67], 10: [81, 18, 10], 11: [20], 12: [2]}",13
"{0: [78, 2, 46, 61, 91, 9, 24, 92], 1: [76, 12, 67], 2: [85, 20, 55, 87], 3: [30, 28, 27], 4: [52, 81, 5, 22], 5: [25, 89], 6: [6], 7: [57, 59], 8: [70, 18], 9: [83], 10: [80], 11: [90], 12: [10], 13: [86, 84]}",14
"{0: [83, 86, 89, 59], 1: [12, 28], 2: [85, 84, 78, 90, 22, 27, 18], 3: [55, 91, 9], 4: [80, 30, 92, 10], 5: [52, 25, 2, 87, 46], 6: [81, 20, 57, 6], 7: [76, 5, 67, 24], 8: [61, 70]}",9
"{0: [81, 76, 25, 90, 28, 18, 10], 1: [46, 61, 22, 57], 2: [85, 78, 5, 59], 3: [2, 12, 91, 89], 4: [86], 5: [52, 80, 30, 87], 6: [20, 84, 6], 7: [67, 24], 8: [27, 70, 92], 9: [83, 9], 10: [55]}",11
"{0: [83, 80, 85, 86, 55, 59, 18, 10], 1: [84, 22, 89, 57, 24], 2: [20, 78], 3: [81, 5, 61, 90, 6], 4: [52, 12, 91, 9, 27], 5: [46, 67, 28], 6: [87, 70], 7: [25, 30, 92], 8: [2], 9: [76]}",10
"{0: [80, 20, 84, 70, 18], 1: [25, 87, 12, 92, 10], 2: [83, 52, 81, 55, 67, 89, 27], 3: [85, 78, 24], 4: [46, 28], 5: [2, 91, 57], 6: [76, 61, 6], 7: [86, 5, 30], 8: [22, 59], 9: [90], 10: [9]}",11
"{0: [2, 55], 1: [57], 2: [46, 61, 91, 24], 3: [30, 27, 18], 4: [83, 52, 5, 89, 6, 70], 5: [76, 9], 6: [86, 67, 90, 10], 7: [81, 78, 12, 28], 8: [22, 59], 9: [87, 92], 10: [25, 85], 11: [20], 12: [80, 84]}",13
"{0: [83, 78, 28, 18], 1: [55, 61, 22, 70], 2: [20, 30, 87, 57, 6], 3: [80, 5, 90, 89, 92], 4: [76, 84, 24], 5: [81], 6: [46], 7: [85, 59], 8: [52, 2, 12, 91], 9: [25, 67], 10: [86], 11: [9, 27, 10]}",12
"{0: [25, 78, 57, 6], 1: [80, 5, 2], 2: [76, 85, 59, 70], 3: [84, 30, 55, 90], 4: [83, 81, 46, 28, 10], 5: [61, 9, 24], 6: [87, 89], 7: [22], 8: [52, 86, 12], 9: [27], 10: [92], 11: [20, 18], 12: [67], 13: [91]}",14
"{0: [9, 10], 1: [76, 25, 59], 2: [52, 84, 57], 3: [81, 20, 70], 4: [61], 5: [80, 12, 67], 6: [86, 90], 7: [91, 92], 8: [30, 89, 24], 9: [18], 10: [5, 87, 46, 22, 6, 28, 27], 11: [83, 85, 55], 12: [78, 2]}",13
"{0: [78, 30], 1: [85, 2], 2: [81, 86, 89, 27, 70], 3: [83, 5, 87, 12, 24], 4: [76], 5: [20, 84, 61, 57, 59], 6: [67, 90], 7: [80, 6], 8: [46, 28, 18], 9: [52, 92], 10: [25, 91], 11: [22, 9], 12: [55], 13: [10]}",14
"{0: [86], 1: [2, 61, 10], 2: [55, 28, 27, 92, 18], 3: [25, 20, 5, 30, 12, 9, 24], 4: [87, 91, 70], 5: [22, 59], 6: [80, 46], 7: [81, 90], 8: [83, 84, 78, 67, 57], 9: [89], 10: [52, 85, 6], 11: [76]}",12
"{0: [22], 1: [81, 61, 90, 59], 2: [25, 20, 28], 3: [5, 12, 70], 4: [85, 87, 91, 89], 5: [52, 78, 30, 9, 10], 6: [55, 57], 7: [80, 2, 46], 8: [76, 84, 6, 27, 18], 9: [86, 67, 24, 92], 10: [83]}",11
"{0: [90], 1: [22, 59], 2: [20, 87, 91, 92, 10], 3: [25, 55, 61], 4: [80, 86, 30], 5: [52, 78, 67, 18], 6: [83, 81, 46, 27], 7: [2, 70], 8: [85, 6], 9: [84], 10: [76, 12], 11: [57], 12: [5, 89, 28, 9], 13: [24]}",14
"{0: [52, 87, 67], 1: [5, 2, 55, 90], 2: [89, 6, 24], 3: [81], 4: [76, 91, 22, 28, 27], 5: [18, 10], 6: [83, 86, 30, 46, 9, 70, 92], 7: [57], 8: [85, 20], 9: [25, 78, 12, 61], 10: [80, 84], 11: [59]}",12
"{0: [87], 1: [5, 61, 9], 2: [80, 84, 91, 57, 27], 3: [52, 70, 18, 10], 4: [12, 22], 5: [25, 78, 90, 59], 6: [46], 7: [81, 30, 2, 67, 6], 8: [83, 76, 55], 9: [20, 89], 10: [85, 86, 92], 11: [28], 12: [24]}",13
"{0: [55, 12, 57, 92, 18], 1: [46, 90], 2: [52, 20, 59], 3: [76, 85], 4: [25, 24], 5: [83, 30, 87, 91, 28], 6: [5, 22, 27, 10], 7: [81, 80, 2], 8: [78, 61, 9, 70], 9: [86, 84, 67, 89], 10: [6]}",11
